sentence,meaning,tense
I eat breakfast every morning.,A person has breakfast each morning as a daily routine.,Simple Present
She reads books daily.,A woman reads books on a regular basis.,Simple Present
They play football on Sundays.,A group plays football every Sunday.,Simple Present
He works at a hospital.,A man is employed at a hospital.,Simple Present
The sun rises in the east.,The sun appears from the eastern horizon.,Simple Present
Water boils at 100 degrees.,Water reaches boiling point at 100 degrees Celsius.,Simple Present
She speaks three languages.,A woman is fluent in three different languages.,Simple Present
Dogs bark at strangers.,Dogs make loud sounds when they see unfamiliar people.,Simple Present
I am eating food.,A person is currently consuming a meal.,Present Continuous
She is reading a novel.,A woman is currently engaged in reading a novel.,Present Continuous
They are playing in the park.,A group is currently playing at the park.,Present Continuous
He is working on his project.,A man is currently engaged in his project work.,Present Continuous
The children are singing songs.,The children are currently performing songs.,Present Continuous
It is raining outside.,Rain is currently falling outdoors.,Present Continuous
We are learning new things.,We are currently in the process of gaining new knowledge.,Present Continuous
The boy is playing football.,A boy is currently engaged in a football game.,Present Continuous
I have finished my homework.,A person completed their homework at some point before now.,Present Perfect
She has visited Paris twice.,A woman went to Paris two times in her life so far.,Present Perfect
They have eaten lunch already.,A group finished their lunch before the current time.,Present Perfect
He has written three books.,A man authored three books over the course of his life.,Present Perfect
We have known each other for years.,Two people have been acquainted for many years.,Present Perfect
The team has won the championship.,The team achieved victory in the championship.,Present Perfect
I have been studying for two hours.,A person started studying two hours ago and is still studying.,Present Perfect Continuous
She has been cooking since morning.,A woman began cooking in the morning and continues now.,Present Perfect Continuous
They have been waiting for an hour.,A group started waiting an hour ago and is still waiting.,Present Perfect Continuous
He has been running for thirty minutes.,A man started running thirty minutes ago and continues.,Present Perfect Continuous
It has been raining since yesterday.,Rain started yesterday and has not stopped yet.,Present Perfect Continuous
I ate breakfast this morning.,A person consumed breakfast earlier today.,Simple Past
She read the book last week.,A woman finished reading a book the previous week.,Simple Past
They played football yesterday.,A group engaged in a football game the day before.,Simple Past
He worked late last night.,A man stayed at work until late the previous night.,Simple Past
We visited the museum last month.,A group went to the museum during the previous month.,Simple Past
The dog barked loudly.,The dog made a loud barking sound at a past time.,Simple Past
She danced beautifully at the party.,A woman performed a beautiful dance at a past event.,Simple Past
I was eating dinner when he called.,A person was in the middle of dinner when someone telephoned.,Past Continuous
She was reading when the lights went off.,A woman was engaged in reading when the power failed.,Past Continuous
They were playing outside when it started raining.,A group was playing outdoors when rain began.,Past Continuous
He was working all morning.,A man was engaged in work throughout the morning.,Past Continuous
We were watching a movie at that time.,A group was in the process of viewing a film at that moment.,Past Continuous
The children were sleeping soundly.,The children were in a deep sleep.,Past Continuous
I had finished my work before she arrived.,A person completed work prior to someone else arriving.,Past Perfect
