word,meaning,pos,synonyms,antonyms,example,phonetic,frequency
happy,feeling or showing pleasure or contentment,adjective,joyful;glad;cheerful;delighted;pleased,sad;unhappy;miserable;sorrowful,She is happy today.,/ˈhæpi/,95
sad,feeling or showing sorrow; unhappy,adjective,unhappy;sorrowful;dejected;melancholy;gloomy,happy;cheerful;joyful;glad,He felt sad after the movie.,/sæd/,90
run,to move swiftly on foot,verb,jog;sprint;dash;race;gallop,walk;crawl;stop;stand,He can run fast.,/rʌn/,98
walk,to move at a regular pace by lifting and setting down each foot,verb,stroll;amble;saunter;stride;trek,run;sprint;dash,They walk to school every day.,/wɔːk/,96
beautiful,pleasing the senses or mind aesthetically,adjective,gorgeous;stunning;attractive;lovely;pretty,ugly;hideous;unattractive;plain,The sunset was beautiful.,/ˈbjuːtɪfəl/,92
ugly,unpleasant or repulsive in appearance,adjective,hideous;unsightly;unattractive;grotesque,beautiful;gorgeous;attractive;pretty,The old building looked ugly.,/ˈʌɡli/,70
eat,to put food into the mouth and chew and swallow it,verb,consume;devour;dine;feast;munch,fast;starve;abstain,I eat breakfast every morning.,/iːt/,97
drink,to take liquid into the mouth and swallow,verb,sip;gulp;consume;imbibe;quaff,abstain;fast,She likes to drink water.,/drɪŋk/,93
big,of considerable size or extent,adjective,large;huge;enormous;massive;vast,small;tiny;little;minute,The elephant is big.,/bɪɡ/,97
small,of a size that is less than normal,adjective,tiny;little;minute;petite;miniature,big;large;huge;enormous,The mouse is small.,/smɔːl/,96
fast,moving or capable of moving at high speed,adjective,quick;rapid;swift;speedy;hasty,slow;sluggish;leisurely,The car is very fast.,/fæst/,88
slow,moving or operating at a low speed,adjective,sluggish;unhurried;leisurely;gradual;languid,fast;quick;rapid;swift,The turtle is slow.,/sloʊ/,85
good,of high quality or to be desired,adjective,excellent;great;fine;superb;wonderful,bad;poor;terrible;awful,She did a good job.,/ɡʊd/,99
bad,of poor quality or low standard,adjective,poor;terrible;awful;dreadful;lousy,good;excellent;great;superb,The weather is bad today.,/bæd/,94
love,an intense feeling of deep affection,noun,affection;adoration;devotion;fondness;passion,hate;loathing;hatred;animosity,Love conquers all.,/lʌv/,98
hate,to feel intense dislike for,verb,detest;loathe;despise;abhor;dislike,love;adore;cherish;like,I hate rainy days.,/heɪt/,80
book,a written or printed work consisting of pages,noun,volume;publication;tome;text;novel,none,She read the book in one day.,/bʊk/,95
write,to mark coherent letters or words on a surface,verb,compose;pen;author;draft;inscribe,erase;delete,He likes to write stories.,/raɪt/,93
read,to look at and comprehend the meaning of written matter,verb,peruse;study;scan;browse;examine,ignore;overlook,She loves to read novels.,/riːd/,95
speak,to say words in order to convey information or express feelings,verb,talk;say;utter;articulate;express,listen;be silent,He can speak three languages.,/spiːk/,90
listen,to give attention to sound,verb,hear;attend;heed;hark;concentrate,ignore;disregard,Please listen carefully.,/ˈlɪsən/,88
think,to use the mind to consider something,verb,ponder;consider;contemplate;reflect;deliberate,ignore;neglect,I think therefore I am.,/θɪŋk/,94
learn,to gain knowledge or skill by studying or experience,verb,study;acquire;master;absorb;grasp,forget;unlearn;ignore,Children learn quickly.,/lɜːrn/,92
